Produit;Désignation;Vendeur;Raison sociale du vendeur;Expéditeur;Pays;Raison sociale de l'expéditeur;Identifiant appro;SGR;Ligne;Traitée;Rupture minimale;Nombre de jours couverture minimale;Rupture usine;Nombre de jours couverture usine;Rupture usine et parc;Nombre de jours couverture usine + parc;Rupture usine sans encours transport;Nombre de jours couverture sans encours transport;Stock Sens2;Stock départ Minimale;Stock départ usine;Stock départ usine et parc;SGR et ligne;Date fin série;Date transfert série;Date dernier RI;Dotation atelier;Sécu appro;Sécu LUO;Sécu NLIJ;Sécu douane;Unité;Sécu transport amont;Unité;Sécu transport aval;Unité;Sécu transport;Unité;CMJ JL Hebdo;CMJ JL Périodique;Quantité EO;Quantité EF;Quantité XC;Quantité RP;Quantité XP;Quantité DT;Quantité AT;Quantité EP;Quantité AS;Retard en EF/XP;Retard en RQ;Avance en RQ;Commentaire;Date Commentaire;Auteur du commentaire;Date du dernier calcul de couverture
9251956680;MOUSSE ADH 30L50;79173G  01;PULLFLEX S A;79173G  02;France;PULLFLEX S A;GAUTHER SYLVIE;CJ6;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;56344;-4394;55606;0;CJ6-1;;01/01/1996 01:00:00;;60000;0;39;0;N/A;N/A;N/A;N/A;N/A;N/A;360;M;1157;1143;20000;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:06:35
9460136680;N°GESTION CATA;12939N  04;BASF FRANCE SAS;12939N  09;France;BASF FRANCE SAS;EVEILLARD ISABELLE;CJ3;1;Non traitée;03/11/15 07:00;10,5;03/11/2015 07:00:00;10,5;;0;03/11/2015 07:00:00;10,5;0;-42125,98;-42125,98;0;CJ3-1;;05/07/2010 02:00:00;;0;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;420;M;39315;39415;0;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:01:53
9603816480;OBTURATEUR K 18;50342U  01;SACRED;50342U  01;France;SACRED;DEME CHRISTINE;CJ6;1;Non traitée;03/11/15 07:00;10,5;03/11/2015 07:00:00;10,5;;0;03/11/2015 07:00:00;10,5;63102;-15276;-1526;0;CJ6-1, CJ3-1;;01/01/1996 01:00:00;;27500;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;360;M;5321;5330;22000;0;11000;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:07:09
9614184280;ECROU SERTI CYLI;17213J  01;BOLLHOFF OTALU SA;17213J  01;France;BOLLHOFF OTALU SA;PENVEN CHRISTIAN;CJ6;1;Non traitée;03/11/15 07:07;10,5;;0;;0;;0;1550;-468;1532;0;CJ6-1;;19/06/2008 02:00:00;;2000;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;31;32;1000;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:04:42
9623155680;VIS HRCL M6X100;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;France;FONTANA FASTENERS FRANCE SA;EVEILLARD ISABELLE;CJ6;1;Non traitée;05/11/15 08:23;12,5;;0;;0;;0;36504;7727;34727;0;CJ6-1;;01/01/1996 01:00:00;;27000;1;20;0;N/A;N/A;N/A;N/A;N/A;N/A;420;M;2892;3001;0;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:10:22
9633355780;HAUT-PARLEUR;94936R  01;ASK INDUSTRIES SPA;A005M2  02;Italie;CFE LOGISTICS;MORVAN GILLES;CJ6;1;Non traitée;10/11/15 08:44;17,5;;0;;0;10/11/2015 09:50:18;17,5;6299;2003;5531;0;CJ6-1;;01/02/1999 01:00:00;;3528;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;1158;1162;8400;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:01:36
9634687080;ECROU S 5.5;82109Y  01;ITW RIVEX;82109Y  01;France;ITW RIVEX;PENVEN CHRISTIAN;CJ2;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;37303;-11596;36064;0;CJ2-1;;15/04/2000 02:00:00;;47660;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;660;M;1154;1158;0;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:06:22
9638426480;CLIP ARRET;22446X  01;ITW METAL FASTENERS S.L.U.;22446X  01;Espagne;ITW METAL FASTENERS S.L.U.;PENVEN CHRISTIAN;CJ6;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;25272;-2792;25208;0;CJ6-1;;10/04/2000 02:00:00;;28000;0;39;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;2394;2388;28000;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:03:08
96384805XT;CONTACT HAUTEUR;93324N  01;DELPHI PACKARD ESPANA SL;93324N  01;Espagne;DELPHI PACKARD ESPANA SL;MORVAN GILLES;CJ6;1;Non traitée;05/11/15 12:04;12,5;;0;;0;;0;711;110;710;0;CJ6-1;;04/06/2007 02:00:00;;600;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;36;32;300;0;0;0;0;0;0;0;0;300;0;0;;;;23/10/2015 16:30:43
9639912980;SOUFFLET AMOR.AV;83503N  01;CONTITECH VIBRATION CONTROL GMBH;83503N  03;Allemagne;CONTITECH VIBRATION CONTROL GMBH;PENVEN CHRISTIAN;CJ6;1;Non traitée;17/11/15 11:06;24,5;;0;;0;10/11/2015 08:54:53;17,5;544;320;448;0;CJ6-1;;15/09/2003 02:00:00;;128;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;152;114;640;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:00:55
