Produit;quai;SO;Désignation;Vendeur;Raison Sociale;Expéditeur;Raison Sociale;CU;DTS;DFS;% Actif;St FP;ID;Division;Nom site;Statut FP;Périmètre appro;ID appro
7903046076;JM5;A;ECROU K PINCE;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;22/01/2010 01:00;;100.00%;E;123016;;RENNES;Validé exécution;M1H;C002829
7903067033;JM5;A;GP ELS 12-015;A0012R  01;MECANINDUS;A0012R  02;MECANINDUS;CJ;01/01/1996 01:00;;100.00%;E;123017;;RENNES;Validé exécution;M5G;C002829
7903067034;JM5;A;GOUP M11 D14 L15;A0012R  01;MECANINDUS;A0012R  02;MECANINDUS;CJ;01/01/1996 01:00;;100.00%;E;123018;;RENNES;Validé exécution;M5G;C002829
7903072068;JM5;A;RIVET K AVEUGLE;17213J  01;BOLLHOFF OTALU SA;17213J  01;BOLLHOFF OTALU SA;CJ;01/01/1996 01:00;;100.00%;E;123019;;RENNES;Validé exécution;M3V;C002704
7903072109;JM5;A;RIVET GL 4,8 L10;17213J  01;BOLLHOFF OTALU SA;17213J  01;BOLLHOFF OTALU SA;CJ;18/11/2002 01:00;;100.00%;E;123020;;RENNES;Validé exécution;F12;C002704
7903072290;JM5;A;RIVET G4,8-13*;17213J  01;BOLLHOFF OTALU SA;17213J  01;BOLLHOFF OTALU SA;CJ;11/04/2005 02:00;;100.00%;E;123021;;RENNES;Validé exécution;M3V;C002704
7903072301;JM5;A;RIVET K AVEUG;17213J  01;BOLLHOFF OTALU SA;17213J  01;BOLLHOFF OTALU SA;CJ;14/03/2005 01:00;;100.00%;E;123022;;RENNES;Validé exécution;M3V;C002704
7903073012;JM5;A;BG P/G 13-05;87878U  01;CARBODY;93331W  01;TRANSPORTS BIJOT;CJ;10/04/2000 02:00;;100.00%;E;123023;;RENNES;Validé exécution;M5I;C175543
7903073101;JM5;A;OBT K PASSE GAIN;87878U  01;CARBODY;93331W  01;TRANSPORTS BIJOT;CJ;01/01/1996 01:00;;100.00%;E;123024;;RENNES;Validé exécution;M5I;C175543
7903074042;JM5;A;CLIP INSERT 10;50558D  02;A. RAYMOND FRANCE;50558D  07;A. RAYMOND FRANCE;CJ;04/06/2007 02:00;;100.00%;E;123025;;RENNES;Validé exécution;M5B;C175543
7903074163;JM5;A;OBTURATEUR 11;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;01/01/1996 01:00;;100.00%;E;123026;;RENNES;Validé exécution;M1H;C002829
7903076077;JM5;A;AGRAFE MAINTIEN;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;10/04/2000 02:00;;100.00%;E;123027;;RENNES;Validé exécution;M1H;C002829
7903076092;JM5;A;AGRAFE MAINT;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;07/07/2008 02:00;;100.00%;E;123028;;RENNES;Validé exécution;M1H;C002829
7903077114;JM5;A;CLIP MAINT BOUT;59337W  01;ITW DE FRANCE;59337W  01;ITW DE FRANCE;CJ;14/11/2011 01:00;;100.00%;E;123029;;RENNES;Validé exécution;M1H;C002829
7903078082;JM5;J;AGRAFE SUPT;50558D  02;A. RAYMOND FRANCE;50558D  07;A. RAYMOND FRANCE;CJ;28/07/1997 02:00;;100.00%;E;123030;;RENNES;Validé exécution;M5B;C175543
7903078087;JM5;A;AGR K SUPP TIGE;34894C  01;LISI AUTOMOTIVE FORMER;96859F  01;LISI AUTOMOTIVE RAPID;CJ;01/01/1996 01:00;;100.00%;E;123031;;RENNES;Validé exécution;M1H;C002829
7903079006;JM5;A;AGRAFE SUPPORT;50558D  02;A. RAYMOND FRANCE;50558D  07;A. RAYMOND FRANCE;CJ;01/01/1996 01:00;01/05/2016 00:00;100.00%;E;123032;;RENNES;Validé exécution;M3L;C175543
7903079236;JM5;A;AGR K SUP.2T8 8;50558D  02;A. RAYMOND FRANCE;50558D  07;A. RAYMOND FRANCE;CJ;22/05/2000 02:00;;100.00%;E;123033;;RENNES;Validé exécution;M5B;C175543
7903081020;JM5;A;CLIP K INSER 8;50558D  02;A. RAYMOND FRANCE;50558D  07;A. RAYMOND FRANCE;CJ;01/01/1996 01:00;;100.00%;E;123034;;RENNES;Validé exécution;M5B;C175543
7903081073;JM5;A;CLIP MTN Q7 4,8;59337W  01;ITW DE FRANCE;59337W  01;ITW DE FRANCE;CJ;01/01/1996 01:00;;100.00%;E;123035;;RENNES;Validé exécution;M1H;C002829
7903083406;JM5;A;COLLIER CLIQ;25016R  01;ETABLISSEMENTS CAILLAU;25016R  03;ETABLISSEMENTS CAILLAU;CJ;25/07/2005 02:00;;100.00%;E;123036;;RENNES;Validé exécution;M3F;A170852
7903085043;JM5;A;LANIERE K L100;52033G  01;HELLERMANNTYTON;52033G  05;HELLERMANNTYTON;CJ;01/01/1996 01:00;;100.00%;E;123037;;RENNES;Validé exécution;M5D;C003082
7903085044;JM5;A;LANIERE K L200;52033G  01;HELLERMANNTYTON;52033G  05;HELLERMANNTYTON;CJ;01/01/1996 01:00;;100.00%;E;123038;;RENNES;Validé exécution;M5D;C003082
7903085045;JM5;A;LANIERE K,L275B4;52033G  01;HELLERMANNTYTON;52033G  05;HELLERMANNTYTON;CJ;01/01/1996 01:00;;100.00%;E;123039;;RENNES;Validé exécution;M5D;C003082
7903088025;JM5;A;BUTEE;50342U  01;SACRED;50342U  01;SACRED;CJ;10/04/2000 02:00;;100.00%;E;123040;;RENNES;Validé exécution;MSD;A170852
7903201207;JM5;A;VIS M6X100 L45;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;21/04/2003 02:00;;100.00%;E;123041;;RENNES;Validé exécution;M5D;C003082
7903233014;JM5;A;ECROU RCN M6;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;P;123042;;RENNES;Validé préparation;M5J;C003082
7903233018;JM5;A;ECROU;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;E;123043;;RENNES;Validé exécution;M5J;C003082
7903233021;JM5;A;ECROU H RDL  M6;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;E;123044;;RENNES;Validé exécution;M5J;C003082
7903233022;JM5;A;ECROU H M8X125;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;01/01/1996 01:00;;100.00%;E;123045;;RENNES;Validé exécution;M1K;A174284
7903233023;JM5;A;ECR 10X150;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;E;123046;;RENNES;Validé exécution;M5J;C003082
7903233025;JM5;A;ECROU H M6X100;A0063I  01;OPTIMAS OE SOLUTIONS SAS;A0063I  01;OPTIMAS OE SOLUTIONS SAS;CJ;01/01/1996 01:00;;100.00%;E;123047;;RENNES;Validé exécution;M1H;C002829
7903233026;JM5;A;ECROU HRCL 8X125;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;E;123048;;RENNES;Validé exécution;M5J;C003082
7903233029;JM5;A;ECROU;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;E;123049;;RENNES;Validé exécution;M5J;C003082
7903233030;JM5;A;ECROU M8X125;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;01/01/1996 01:00;;100.00%;E;123050;;RENNES;Validé exécution;M5J;C003082
7903233039;JM5;A;ECROU H M10X150;34894C  01;LISI AUTOMOTIVE FORMER;94437Y  01;LISI AUTOMOTIVE NOMEL SAS;CJ;10/04/2000 02:00;;100.00%;E;123051;;RENNES;Validé exécution;M5J;C003082
7903233041;JM5;A;ECROU H M5X080;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;01/01/1996 01:00;;100.00%;E;123052;;RENNES;Validé exécution;M1K;A174284
