PEGA201511182021CJ 14992630XT48985U  0201CJ6JM5AG8A  RMV K12+      132          
PEGA201511182021CJ 14992640ZD48985U  0201CJ6JM5AG8A  RMV K12+        0          
PEGA201511182021CJ 14992640ZW48985U  0201CJ6JM5AG8A  RMV K12+        0          
PEGA201511182021CJ 770300814163629L  WF01CJ6JM5GSM1 KAKI6D20+        0          
PEGA201511182021CJ 770360205068891F  0101CJ2JFVDDJFVP1563Z28+        0          
PEGA201511182021CJ 790300601482109Y  0101CJ6JM5GSM1 MANGCD18+        0          
PEGA201511182021CJ 790300610163629L  1301CJ6JM5GSM1 ABRIHD22+        0          
PEGA201511182021CJ 790300617963629L  WF01CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ 790300822282109Y  0101CJ6JM5BSM1  SM1 F33+        0          
PEGA201511182021CJ 790300912563629L  1301CJ6JM5DDJBT MBA    +        0          
PEGA201511182021CJ 790300923663629L  1301CJ6JM5BSM1  SM1 F31+        0          
PEGA201511182021CJ 790300924863629L  1301CJ6JM5GSM1 SAPOGD30+        0          
PEGA201511182021CJ 790300933263629L  1301CJ6JM5BSM1  SM1 F31+        0          
PEGA201511182021CJ 790300936981227P  W001CJ6JM5BSM5  SM5 S08+        0          
PEGA201511182021CJ 790301130683502M  06  CJ2JFV             +        0          
PEGA201511182021CJ 790301137768891F  01  CJ2JFV             +        0          
PEGA201511182021CJ 790301137882109Y  01  CJ2JFV             +        0          
PEGA201511182021CJ 790301138083502M  06  CJ2JFV             +        0          
PEGA201511182021CJ 790301138163629L  WF01CJ2JFVDDJFVP0733F28+        0          
PEGA201511182021CJ 790301138268891F  01  CJ2JFV             +        0          
PEGA201511182021CJ 790301138582109Y  01  CJ2JFV             +        0          
PEGA201511182021CJ 790301139034894C  0301CJ2JFVDDJFVP1463D28+        0          
PEGA201511182021CJ 790301139368891F  0101CJ2JFVDDJFVP1663D96+        0          
PEGA201511182021CJ 790301139468891F  0101CJ2JFVDDJFVW1163Z28+        0          
PEGA201511182021CJ 790301144983502M  06  CJ2JFV             +        0          
PEGA201511182021CJ 790301146384247X  0101CJ2JFVDDJFVX1963C36+        0          
PEGA201511182021CJ 790301146668891F  01  CJ2JFV             +        0          
PEGA201511182021CJ 7903011473A0011J  W0  CJ2JFV             +        0          
PEGA201511182021CJ 790301147484247X  0101CJ2JFVDDJFVP1263Y31+        0          
PEGA201511182021CJ 790301147582109Y  01  CJ2JFV             +        0          
PEGA201511182021CJ 790301147682109Y  01  CJ2JFV             +        0          
PEGA201511182021CJ 790301648563629L  WF01CJ6JM5BSM1  SM1 F33+        0          
PEGA201511182021CJ 790301648663629L  WF01CJ6JM5GSM1 PAPA6G89+        0          
PEGA201511182021CJ 790301706763629L  WF01CJ6JM5BSM1  SM1 F33+        0          
PEGA201511182021CJ 790301706863629L  WF01CJ6JM5KSM5  SM5 S24+        0          
PEGA201511182021CJ 790301707063629L  WF01CJ6JM5BSM1  SM1 F33+        0          
PEGA201511182021CJ 790301707363629L  WF01CJ6JM5GSM1 MANGZG02+        0          
PEGA201511182021CJ 790301707534894C  W101CJ6JM5BSM1  SM1 F29+        0          
